caldt,crsp_fundno,mtna,mret,mnav
20000331,031417,5414.100,0.004764,1.0000000
20000428,031417,5319.500,0.004708,1.0000000
20000531,031417,5384.800,0.005091,1.0000000
20000630,031417,5387.100,0.005108,1.0000000
20000731,031417,5416.300,0.005313,1.0000000
20000831,031417,5522.600,0.005329,1.0000000
20000929,031417,5514.100,0.005153,1.0000000
20001031,031417,5528.600,0.005314,1.0000000
20001130,031417,5495.400,0.005160,1.0000000
20001229,031417,5685.600,0.005358,1.0000000
20010131,031417,5815.000,0.005146,1.0000000
20010228,031417,5838.800,0.004303,1.0000000
20010330,031417,6020.200,0.004510,1.0000000
20010430,031417,5960.700,0.004066,1.0000000
20010531,031417,6037.200,0.003926,1.0000000
20010629,031417,6199.100,0.003490,1.0000000
20010731,031417,6314.900,0.003296,1.0000000
20010831,031417,6527.200,0.003157,1.0000000
20010928,031417,6886.000,0.002848,1.0000000
20011031,031417,7003.900,0.002645,1.0000000
20011130,031417,6987.900,0.002131,1.0000000
20011231,031417,7374.200,0.001935,1.0000000
20020131,031417,7265.700,0.001803,1.0000000
20020228,031417,7435.200,0.001465,1.0000000
20020328,031417,7267.400,0.001446,1.0000000
20020430,031417,6997.500,0.001379,1.0000000
20020531,031417,6838.300,0.001405,1.0000000
20020628,031417,6777.500,0.001351,1.0000000
20020731,031417,6857.000,0.001347,1.0000000
20020830,031417,6793.600,0.001318,1.0000000
20020930,031417,6799.600,0.001288,1.0000000
20021031,031417,6971.100,0.001282,1.0000000
20021129,031417,6906.600,0.001135,1.0000000
20021231,031417,6826.800,0.001054,1.0000000
20030131,031417,6809.200,0.001016,1.0000000
20030228,031417,6818.700,0.000839,1.0000000
20030331,031417,6763.100,0.000881,1.0000000
20030430,031417,6673.400,0.000800,1.0000000
20030530,031417,6566.900,0.000763,1.0000000
20030630,031417,6436.100,0.000710,1.0000000
20030731,031417,6453.900,0.000681,1.0000000
20030829,031417,6289.100,0.000642,1.0000000
20030930,031417,6191.200,0.000624,1.0000000
20031031,031417,6097.400,0.000642,1.0000000
20031128,031417,6033.200,0.000614,1.0000000
20031231,031417,5946.900,0.000641,1.0000000
20040130,031417,5850.600,0.000632,1.0000000
20040227,031417,5760.300,0.000582,1.0000000
20040331,031417,5761.800,0.000617,1.0000000
20040430,031417,5726.100,0.000598,1.0000000
20040528,031417,5653.300,0.000623,1.0000000
20040630,031417,5636.200,0.000674,1.0000000
20040730,031417,5564.300,0.000881,1.0000000
20040831,031417,5575.300,0.000999,1.0000000
20040930,031417,5567.000,0.001071,1.0000000
20041029,031417,5550.900,0.001248,1.0000000
20041130,031417,5496.500,0.001315,1.0000000
20041231,031417,5525.000,0.001519,1.0000000
20050131,031417,5503.600,0.001717,1.0000000
20050228,031417,5490.300,0.001678,1.0000000
20050331,031417,5563.500,0.001974,1.0000000
20050429,031417,5575.400,0.002054,1.0000000
20050531,031417,5547.500,0.002289,1.0000000
