Date,SPY,IYR,IWN,EFA,EEM,GSG,TLT,USIG,HYG,VXX,VMFXX
4/1/2008,0.047662296,0.058064499,0.039499832,0.054381029,0.091382577,0.081921843,-0.02899154,0.00659205,0.027102543,-0.18821,0.002
5/1/2008,0.015116532,0.008130157,0.031103213,0.011871805,0.03163785,0.084664588,-0.030394177,-0.014189326,-0.01077651,-0.14238,0.0018
6/1/2008,-0.088136817,-0.124424005,-0.093340889,-0.104810338,-0.102974208,0.103240088,0.022817873,-0.009260173,-0.042964785,0.34324,0.0016
7/1/2008,-0.008985791,0.024671053,0.04001876,-0.033202255,-0.055039823,-0.133226577,-0.007255774,-0.00629892,-0.001063814,-0.04217,0.0017
8/1/2008,0.015453689,0.018138059,0.052210757,-0.042476272,-0.063157913,-0.074849847,0.023671847,-0.007258962,-0.015974441,-0.09983,0.0017
9/1/2008,-0.099386568,-0.0233328,-0.035709241,-0.114362128,-0.146816509,-0.104378234,0.011082704,-0.057260532,-0.112554127,0.90751,0.0017
10/1/2008,-0.165186623,-0.313155792,-0.209696593,-0.20834813,-0.255779875,-0.296654262,-0.021606192,-0.069805542,-0.12195122,0.52044,0.0017
11/1/2008,-0.069606582,-0.215511124,-0.112721075,-0.063719995,-0.097522592,-0.148784383,0.138855964,0.042278314,-0.079861111,-0.07697,0.0018
12/1/2008,0.001665019,0.115338477,0.042841921,0.075006017,0.088017363,-0.111766488,0.128925436,0.073239437,0.147320787,-0.27641,0.0016
1/1/2009,-0.08211432,-0.158205734,-0.137888937,-0.137316089,-0.092911484,-0.103460361,-0.130707991,-0.002204715,-0.010130302,0.121,0.0012
2/1/2009,-0.107449008,-0.197830272,-0.138947853,-0.103875979,-0.062693161,-0.061208566,-0.018024123,-0.029145668,-0.106193489,0.039108781,0.0008
3/1/2009,0.075612016,0.012728707,0.081095865,0.083910029,0.168629298,0.045681079,0.037593266,-0.012896877,0.008178484,0.041777869,0.0005
4/1/2009,0.0993461,0.296150871,0.153573277,0.115190157,0.155582454,-0.015488458,-0.072178576,0.026789578,0.124926154,-0.171804585,0.0004
5/1/2009,0.058453451,0.022727273,0.023725791,0.131918007,0.159400125,0.21500604,-0.039865453,0.025662977,0.020584762,-0.16883534,0.0003
6/1/2009,-0.006268257,-0.039407462,-0.001502139,-0.034562684,-0.030385141,-0.00232409,0.004247654,0.020746513,0.024023675,-0.126010518,0.0002
7/1/2009,0.074605773,0.105798905,0.106382998,0.10041472,0.110145805,0.007321172,0.00253778,0.024001618,0.059465537,-0.09014828,0.0002
8/1/2009,0.036939597,0.131938732,0.050699313,0.045030757,-0.013135758,0.004294653,0.018879875,0.010672249,-0.025221993,-0.045183201,0.0001
9/1/2009,0.03054848,0.051503111,0.043261234,0.037965072,0.101954073,-0.023684188,0.021325106,0.012434565,0.048955282,-0.155146134,0.000129
10/1/2009,-0.019225295,-0.049683596,-0.063087034,-0.025237766,-0.034438452,0.048180603,-0.02919121,-0.007603069,-0.013549487,-0.035407089,7.30E-05
11/1/2009,0.061606847,0.070776794,0.026290891,0.039212011,0.078520117,0.01285759,0.008874488,0.012277773,0.008452703,-0.164662012,4.70E-05
12/1/2009,0.013643805,0.057577156,0.069664628,-0.001985929,0.024185576,0.00983813,-0.069750575,-0.024548795,0.02258434,-0.154170786,2.00E-05
1/1/2010,-0.036342453,-0.054224694,-0.0277395,-0.050651217,-0.077590391,-0.081081079,0.026921773,0.020789854,-0.0183287,-0.071323755,9.00E-06
2/1/2010,0.031194697,0.054570548,0.045365964,0.002667671,0.017763854,0.059165511,-0.006933154,-0.001754047,0.010901018,-0.169089715,8.00E-06
3/1/2010,0.056528827,0.086899555,0.082217297,0.063854061,0.081108828,0.006134987,-0.023671847,-0.001561926,0.013766257,-0.200836839,9.00E-06
4/1/2010,0.015470065,0.063881084,0.068139133,-0.028045725,-0.001661911,0.031450563,0.029385444,0.013492422,0.011655525,0.009519222,8.00E-06
5/1/2010,-0.079454549,-0.056835317,-0.082416814,-0.111927958,-0.093935811,-0.135967611,0.047433006,-0.005112931,-0.053579428,0.347477659,9.00E-06
6/1/2010,-0.056231155,-0.054854888,-0.088380994,-0.037458638,-0.02047241,0.000720218,0.054404145,0.011732756,0.003427502,0.091672528,1.40E-05
7/1/2010,0.068300672,0.094047925,0.065217345,0.116104101,0.109324809,0.05757461,-0.012481539,0.016484582,0.043816268,-0.276602592,3.40E-05
8/1/2010,-0.044980495,-0.012971964,-0.075049336,-0.037950322,-0.032367152,-0.054780495,0.080413952,0.017443015,-0.016587691,-0.027027054,4.20E-05
9/1/2010,0.083752729,0.037269548,0.103024926,0.099719657,0.117573613,0.08027356,-0.028095021,-0.000185379,0.029145162,-0.212659306,3.30E-05
